+----------+
| COUNT(*) |
+----------+
|      558 |
+----------+
+--------------------------------------+-------------+---------------+--------+---------------------+---------------------+
| source_object_id                     | xref_id     | source_action | status | last_updated        | reason_str          |
| 69cf114c-33c7-4be4-a5a8-49a92a726867 | caagc-44743 | INSERT        |      3 | 2019-03-19 18:32:31 | Project is required |
| 6e61ee9e-b450-4272-8fa1-dae27d67ad81 | caagc-44742 | INSERT        |      3 | 2019-03-19 18:32:02 | Project is required |
| 8aabb7fa-bd5a-4abb-9f95-b570d729d02b | caagc-44741 | INSERT        |      3 | 2019-03-19 18:30:07 | Project is required |
| 21ea25ec-6571-4668-b0fa-b86374c527de | caagc-44738 | INSERT        |      3 | 2019-03-19 18:29:33 | Project is required |
| 4d47eca1-03aa-4134-8412-9c8bd8dbac79 | caagc-44737 | INSERT        |      3 | 2019-03-19 18:29:17 | Project is required |
| 937629a9-121f-4d2d-b6b8-8474e8ed9781 | caagc-44735 | INSERT        |      3 | 2019-03-19 18:28:03 | Project is required |
| bceca339-2d30-45db-b35e-998e2b5c56e6 | caagc-44070 | INSERT        |      3 | 2019-03-19 01:36:20 | Project is required |
| bb2a6b19-4cb8-4468-9fa7-2b1bbd612b9d | caagc-44069 | INSERT        |      3 | 2019-03-19 01:35:45 | Project is required |
| b2929cd8-4219-4ee4-a958-8dc1d8b15208 | caagc-44068 | INSERT        |      3 | 2019-03-19 01:35:41 | Project is required |
| 679caf38-fee3-4073-94b5-2911ab091a95 | caagc-44067 | INSERT        |      3 | 2019-03-19 01:35:26 | Project is required |
| b764f4b6-5afa-4526-af77-286e238f5374 | caagc-43512 | INSERT        |      3 | 2019-03-18 16:23:30 | Project is required |
| 03f701c5-546d-4ba5-bd40-e802b93165c8 | caagc-43357 | INSERT        |      3 | 2019-03-18 14:01:25 | Project is required |
| e5a0c879-9d03-425a-9047-2e9d04a9bc1a | caagc-43222 | INSERT        |      3 | 2019-03-17 20:01:03 | Project is required |
| 94b0485b-23e4-4150-ba4c-f82644c22562 | caagc-41807 | INSERT        |      3 | 2019-03-15 16:08:40 | Project is required |
| 0ea5f7a1-1fe6-4c4c-9b90-90310b0425a9 | caagc-41806 | INSERT        |      3 | 2019-03-15 16:06:25 | Project is required |
| 5bf15a49-d747-4434-87e2-079449a5a724 | caagc-41797 | INSERT        |      3 | 2019-03-15 15:59:27 | Project is required |
| b0753581-7406-47fa-8af8-48eb68a158f7 | caagc-41796 | INSERT        |      3 | 2019-03-15 15:56:07 | Project is required |
| 83b3185a-aff8-4b90-aeca-7de4f14c6365 | caagc-41788 | INSERT        |      3 | 2019-03-15 15:51:10 | Project is required |
| 8281175d-cca8-4bc3-83f1-adb7cd80d5cc | caagc-41685 | INSERT        |      3 | 2019-03-15 14:48:06 | Project is required |
| ddebf42d-a299-42b1-b487-694c9589d716 | caagc-37458 | INSERT        |      3 | 2019-03-14 18:29:06 | Project is required |
| 0522b40e-462e-4ef1-81ec-aea675809704 | caagc-36983 | INSERT        |      3 | 2019-03-14 13:17:21 | Project is required |
| 199ad40b-7606-4448-895e-75e3fcde2014 | caagc-36475 | INSERT        |      3 | 2019-03-13 13:43:21 | Project is required |
| df2154e8-4fdb-45ff-87f6-1a5f95e052d3 | caagc-36472 | INSERT        |      3 | 2019-03-13 13:40:49 | Project is required |
