+----------+
| COUNT(*) |
+----------+
|      720 |
+----------+
+------------------+------------+---------------+--------+------------------------------------------------------+
| source_object_id | xref_id    | source_action | status | reason_str                                           |
| CBC-1767         | jira-36685 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1740         | jira-36686 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2103         | jira-36698 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1698         | jira-36702 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2087         | jira-36706 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1777         | jira-36708 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2132         | jira-36710 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1824         | jira-36712 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1816         | jira-36722 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1782         | jira-36729 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2155         | jira-36733 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2122         | jira-36731 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1706         | jira-36739 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1712         | jira-36741 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1730         | jira-36751 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1759         | jira-36754 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1687         | jira-36757 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1762         | jira-36759 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1755         | jira-36765 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1743         | jira-36774 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1707         | jira-36780 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1780         | jira-36794 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1831         | jira-36796 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1719         | jira-36816 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2129         | jira-36818 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1761         | jira-36829 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1738         | jira-36830 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1774         | jira-36832 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2107         | jira-36838 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1752         | jira-36840 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1778         | jira-36846 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1768         | jira-36847 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1722         | jira-36848 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1832         | jira-36864 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
